participant_id	bids_participant_id	session_id	pipeline_name	pipeline_version	pipeline_step	bids_session_id	status
ON00400	sub-ON00400	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
ON00400	sub-ON00400	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
ON00400	sub-ON00400	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
ON00400	sub-ON00400	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
ON01016	sub-ON01016	01	freesurfer741ants243	7.4.1	default	ses-01	FAIL
ON01016	sub-ON01016	01	freesurfer8001ants243	8.0.0.1	default	ses-01	FAIL
ON01016	sub-ON01016	01	fslanat6071ants243	6.0.7.1	default	ses-01	FAIL
ON01016	sub-ON01016	01	samseg8001ants243	8.0.0.1	default	ses-01	FAIL
ON01802	sub-ON01802	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
ON01802	sub-ON01802	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
ON01802	sub-ON01802	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
ON01802	sub-ON01802	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
ON02693	sub-ON02693	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
ON02693	sub-ON02693	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
ON02693	sub-ON02693	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
ON02693	sub-ON02693	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
ON02747	sub-ON02747	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
ON02747	sub-ON02747	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
ON02747	sub-ON02747	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
ON02747	sub-ON02747	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
ON02811	sub-ON02811	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
ON02811	sub-ON02811	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
ON02811	sub-ON02811	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
ON02811	sub-ON02811	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
ON03748	sub-ON03748	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
ON03748	sub-ON03748	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
ON03748	sub-ON03748	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
ON03748	sub-ON03748	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
ON04111	sub-ON04111	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
ON04111	sub-ON04111	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
ON04111	sub-ON04111	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
ON04111	sub-ON04111	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
ON05258	sub-ON05258	01	freesurfer741ants243	7.4.1	default	ses-01	FAIL
ON05258	sub-ON05258	01	freesurfer8001ants243	8.0.0.1	default	ses-01	FAIL
