statistic,value
mean,0.08841185158574114
std,0.08613850698296453
min,0.0
25%,0.01439893342296278
50%,0.06584290592231809
75%,0.12327298876238756
95%,0.2879840370478008
99%,0.35274689306631035
max,0.3547961172524678
