pipeline_pair,structure,r,p,n,p_adj
freesurfer8001ants243_vs_samseg8001ants243,Right-Thalamus,-0.605695500747687,6.870358224354075e-50,485,6.183322401918668e-48
fslanat6071ants243_vs_freesurfer741ants243,Brainstem,0.04748019295676667,0.3012507101860309,476,1.0
fslanat6071ants243_vs_freesurfer741ants243,Left-Accumbens-area,0.06324117813849679,0.16835429132128343,476,1.0
fslanat6071ants243_vs_freesurfer741ants243,Left-Amygdala,0.07402917286619937,0.10672423233335354,476,1.0
fslanat6071ants243_vs_freesurfer741ants243,Left-Caudate,-0.05500874196385268,0.23095565638595517,476,1.0
fslanat6071ants243_vs_freesurfer741ants243,Left-Hippocampus,0.06060176939244662,0.18686453613325538,476,1.0
fslanat6071ants243_vs_freesurfer741ants243,Left-Pallidum,0.09303008734539862,0.04248459730390682,476,1.0
fslanat6071ants243_vs_freesurfer741ants243,Left-Putamen,0.0824827747566265,0.07219367874276494,476,1.0
fslanat6071ants243_vs_freesurfer741ants243,Left-Thalamus,0.13633698245927672,0.0028765592668183017,476,0.25889033401364714
fslanat6071ants243_vs_freesurfer741ants243,Right-Accumbens-area,-0.032222287247292564,0.4830901848619061,476,1.0
fslanat6071ants243_vs_freesurfer741ants243,Right-Amygdala,-0.13286138016969828,0.003684800521317601,476,0.33163204691858406
fslanat6071ants243_vs_freesurfer741ants243,Right-Caudate,0.007680252611518701,0.8672715129836367,476,1.0
fslanat6071ants243_vs_freesurfer741ants243,Right-Hippocampus,-0.011326862081602367,0.8053098179998973,476,1.0
fslanat6071ants243_vs_freesurfer741ants243,Right-Pallidum,0.021822712169828368,0.634843914752256,476,1.0
fslanat6071ants243_vs_freesurfer741ants243,Right-Putamen,0.036810463226091134,0.4229756321318343,476,1.0
fslanat6071ants243_vs_freesurfer741ants243,Right-Thalamus,-0.0068888609948052106,0.8808405012070725,476,1.0
fslanat6071ants243_vs_freesurfer8001ants243,Brainstem,0.03745075935539741,0.4144559734026996,477,1.0
