pipeline_pair,structure,volume_diff
FS8001_vs_Samseg8,Right-Pallidum,0.05636334503698585
FS8001_vs_Samseg8,Right-Putamen,0.046698949763294306
FS8001_vs_Samseg8,Right-Thalamus,0.09781755437845888
FSL6071_vs_FS741,Brainstem,0.07966481496241778
FSL6071_vs_FS741,Left-Accumbens-area,0.2657877884872032
FSL6071_vs_FS741,Left-Amygdala,0.16150789885771685
FSL6071_vs_FS741,Left-Caudate,0.04774104776550649
FSL6071_vs_FS741,Left-Hippocampus,0.09888365294587752
FSL6071_vs_FS741,Left-Pallidum,0.14478871471530488
FSL6071_vs_FS741,Left-Putamen,0.0649203412058548
FSL6071_vs_FS741,Left-Thalamus,0.11397397793251968
FSL6071_vs_FS741,Right-Accumbens-area,0.2591432628330993
FSL6071_vs_FS741,Right-Amygdala,0.20371079029084896
FSL6071_vs_FS741,Right-Caudate,0.053047911529638156
FSL6071_vs_FS741,Right-Hippocampus,0.11438130888314671
FSL6071_vs_FS741,Right-Pallidum,0.1066741790625393
FSL6071_vs_FS741,Right-Putamen,0.059634109356537436
FSL6071_vs_FS741,Right-Thalamus,0.09331333994919593
FSL6071_vs_FS8001,Brainstem,0.06624151204462088
FSL6071_vs_FS8001,Left-Accumbens-area,0.22978482578112588
FSL6071_vs_FS8001,Left-Amygdala,0.21559503689266785
FSL6071_vs_FS8001,Left-Caudate,0.08183994007392119
FSL6071_vs_FS8001,Left-Hippocampus,0.12490099708658682
FSL6071_vs_FS8001,Left-Pallidum,0.10488219552437306
FSL6071_vs_FS8001,Left-Putamen,0.11344397859565608
FSL6071_vs_FS8001,Left-Thalamus,0.14299330539915667
FSL6071_vs_FS8001,Right-Accumbens-area,0.42197729440400716
FSL6071_vs_FS8001,Right-Amygdala,0.2575923329323988
FSL6071_vs_FS8001,Right-Caudate,0.07281695539394167
FSL6071_vs_FS8001,Right-Hippocampus,0.12712086047921542
FSL6071_vs_FS8001,Right-Pallidum,0.1151998800838008
FSL6071_vs_FS8001,Right-Putamen,0.0990562859568642
FSL6071_vs_FS8001,Right-Thalamus,0.15073942066969728
FSL6071_vs_Samseg8,Brainstem,0.1302178196446704
FSL6071_vs_Samseg8,Left-Accumbens-area,0.23510195998204067
FSL6071_vs_Samseg8,Left-Amygdala,0.15525054714831268
FSL6071_vs_Samseg8,Left-Caudate,0.05861780507744328
FSL6071_vs_Samseg8,Left-Hippocampus,0.11133998926629184
FSL6071_vs_Samseg8,Left-Pallidum,0.09820353445945833
FSL6071_vs_Samseg8,Left-Putamen,0.07931564780556301
FSL6071_vs_Samseg8,Left-Thalamus,0.2528842186280052
FSL6071_vs_Samseg8,Right-Accumbens-area,0.34429494902807734
FSL6071_vs_Samseg8,Right-Amygdala,0.20957014098422289
FSL6071_vs_Samseg8,Right-Caudate,0.049460809621516194
FSL6071_vs_Samseg8,Right-Hippocampus,0.107573641385607
FSL6071_vs_Samseg8,Right-Pallidum,0.10383632413340113
FSL6071_vs_Samseg8,Right-Putamen,0.06604880654715498
FSL6071_vs_Samseg8,Right-Thalamus,0.24546132121075978
