statistic,value
mean,0.10689467632008116
std,0.09304353454918705
min,0.0
25%,0.021392708642918132
50%,0.10927017402451128
75%,0.14636449644862448
95%,0.2817984305847569
99%,0.37634566706168127
max,0.42334525439887855
