statistic,value
mean,0.09250661839803614
std,0.08822597338768522
min,0.0
25%,0.026090679458705635
50%,0.07605606121174271
75%,0.1270218034876368
95%,0.2763532885690483
99%,0.3474254604339281
max,0.41814634393848693
