participant_id	bids_participant_id	session_id	pipeline_name	pipeline_version	pipeline_step	bids_session_id	status
09114	sub-09114	1pre	freesurfer741ants243	7.4.1	default	ses-1pre	SUCCESS
09114	sub-09114	1pre	freesurfer8001ants243	8.0.0.1	default	ses-1pre	SUCCESS
09114	sub-09114	1pre	fslanat6071ants243	6.0.7.1	default	ses-1pre	SUCCESS
09114	sub-09114	1pre	samseg8001ants243	8.0.0.1	default	ses-1pre	SUCCESS
09160	sub-09160	1pre	freesurfer741ants243	7.4.1	default	ses-1pre	FAIL
09160	sub-09160	1pre	freesurfer8001ants243	8.0.0.1	default	ses-1pre	FAIL
09160	sub-09160	1pre	fslanat6071ants243	6.0.7.1	default	ses-1pre	FAIL
09160	sub-09160	1pre	samseg8001ants243	8.0.0.1	default	ses-1pre	FAIL
09260	sub-09260	1pre	freesurfer741ants243	7.4.1	default	ses-1pre	FAIL
09260	sub-09260	1pre	freesurfer8001ants243	8.0.0.1	default	ses-1pre	FAIL
09260	sub-09260	1pre	fslanat6071ants243	6.0.7.1	default	ses-1pre	FAIL
09260	sub-09260	1pre	samseg8001ants243	8.0.0.1	default	ses-1pre	FAIL
09300	sub-09300	1pre	freesurfer741ants243	7.4.1	default	ses-1pre	FAIL
09300	sub-09300	1pre	freesurfer8001ants243	8.0.0.1	default	ses-1pre	FAIL
09300	sub-09300	1pre	fslanat6071ants243	6.0.7.1	default	ses-1pre	FAIL
09300	sub-09300	1pre	samseg8001ants243	8.0.0.1	default	ses-1pre	FAIL
09380	sub-09380	1pre	freesurfer741ants243	7.4.1	default	ses-1pre	FAIL
09380	sub-09380	1pre	freesurfer8001ants243	8.0.0.1	default	ses-1pre	FAIL
09380	sub-09380	1pre	fslanat6071ants243	6.0.7.1	default	ses-1pre	FAIL
09380	sub-09380	1pre	samseg8001ants243	8.0.0.1	default	ses-1pre	FAIL
09381	sub-09381	1pre	freesurfer741ants243	7.4.1	default	ses-1pre	FAIL
09381	sub-09381	1pre	freesurfer8001ants243	8.0.0.1	default	ses-1pre	FAIL
09381	sub-09381	1pre	fslanat6071ants243	6.0.7.1	default	ses-1pre	FAIL
09381	sub-09381	1pre	samseg8001ants243	8.0.0.1	default	ses-1pre	FAIL
10134	sub-10134	1pre	freesurfer741ants243	7.4.1	default	ses-1pre	FAIL
10134	sub-10134	1pre	freesurfer8001ants243	8.0.0.1	default	ses-1pre	FAIL
10134	sub-10134	1pre	fslanat6071ants243	6.0.7.1	default	ses-1pre	FAIL
10134	sub-10134	1pre	samseg8001ants243	8.0.0.1	default	ses-1pre	FAIL
10332	sub-10332	1pre	freesurfer741ants243	7.4.1	default	ses-1pre	FAIL
10332	sub-10332	1pre	freesurfer8001ants243	8.0.0.1	default	ses-1pre	FAIL
10332	sub-10332	1pre	fslanat6071ants243	6.0.7.1	default	ses-1pre	FAIL
10332	sub-10332	1pre	samseg8001ants243	8.0.0.1	default	ses-1pre	FAIL
10570	sub-10570	1pre	freesurfer741ants243	7.4.1	default	ses-1pre	FAIL
10570	sub-10570	1pre	freesurfer8001ants243	8.0.0.1	default	ses-1pre	FAIL
10570	sub-10570	1pre	fslanat6071ants243	6.0.7.1	default	ses-1pre	FAIL
10570	sub-10570	1pre	samseg8001ants243	8.0.0.1	default	ses-1pre	FAIL
