participant_id	bids_participant_id	session_id	pipeline_name	pipeline_version	pipeline_step	bids_session_id	status
001	sub-001	001	freesurfer741ants243	7.4.1	default	ses-001	SUCCESS
001	sub-001	001	freesurfer8001ants243	8.0.0.1	default	ses-001	SUCCESS
001	sub-001	001	fslanat6071ants243	6.0.7.1	default	ses-001	SUCCESS
001	sub-001	001	samseg8001ants243	8.0.0.1	default	ses-001	SUCCESS
002	sub-002	001	freesurfer741ants243	7.4.1	default	ses-001	SUCCESS
002	sub-002	001	freesurfer8001ants243	8.0.0.1	default	ses-001	SUCCESS
002	sub-002	001	fslanat6071ants243	6.0.7.1	default	ses-001	SUCCESS
002	sub-002	001	samseg8001ants243	8.0.0.1	default	ses-001	SUCCESS
003	sub-003	001	freesurfer741ants243	7.4.1	default	ses-001	SUCCESS
003	sub-003	001	freesurfer8001ants243	8.0.0.1	default	ses-001	SUCCESS
003	sub-003	001	fslanat6071ants243	6.0.7.1	default	ses-001	SUCCESS
003	sub-003	001	samseg8001ants243	8.0.0.1	default	ses-001	SUCCESS
004	sub-004	001	freesurfer741ants243	7.4.1	default	ses-001	SUCCESS
004	sub-004	001	freesurfer8001ants243	8.0.0.1	default	ses-001	SUCCESS
004	sub-004	001	fslanat6071ants243	6.0.7.1	default	ses-001	SUCCESS
004	sub-004	001	samseg8001ants243	8.0.0.1	default	ses-001	SUCCESS
005	sub-005	001	freesurfer741ants243	7.4.1	default	ses-001	SUCCESS
005	sub-005	001	freesurfer8001ants243	8.0.0.1	default	ses-001	SUCCESS
005	sub-005	001	fslanat6071ants243	6.0.7.1	default	ses-001	SUCCESS
005	sub-005	001	samseg8001ants243	8.0.0.1	default	ses-001	SUCCESS
006	sub-006	001	freesurfer741ants243	7.4.1	default	ses-001	SUCCESS
006	sub-006	001	freesurfer8001ants243	8.0.0.1	default	ses-001	SUCCESS
006	sub-006	001	fslanat6071ants243	6.0.7.1	default	ses-001	SUCCESS
006	sub-006	001	samseg8001ants243	8.0.0.1	default	ses-001	SUCCESS
007	sub-007	001	freesurfer741ants243	7.4.1	default	ses-001	SUCCESS
007	sub-007	001	freesurfer8001ants243	8.0.0.1	default	ses-001	SUCCESS
007	sub-007	001	fslanat6071ants243	6.0.7.1	default	ses-001	SUCCESS
007	sub-007	001	samseg8001ants243	8.0.0.1	default	ses-001	SUCCESS
008	sub-008	001	freesurfer741ants243	7.4.1	default	ses-001	SUCCESS
008	sub-008	001	freesurfer8001ants243	8.0.0.1	default	ses-001	SUCCESS
008	sub-008	001	fslanat6071ants243	6.0.7.1	default	ses-001	SUCCESS
008	sub-008	001	samseg8001ants243	8.0.0.1	default	ses-001	SUCCESS
009	sub-009	001	freesurfer741ants243	7.4.1	default	ses-001	SUCCESS
009	sub-009	001	freesurfer8001ants243	8.0.0.1	default	ses-001	SUCCESS
009	sub-009	001	fslanat6071ants243	6.0.7.1	default	ses-001	SUCCESS
009	sub-009	001	samseg8001ants243	8.0.0.1	default	ses-001	SUCCESS
010	sub-010	001	freesurfer741ants243	7.4.1	default	ses-001	SUCCESS
010	sub-010	001	freesurfer8001ants243	8.0.0.1	default	ses-001	SUCCESS
010	sub-010	001	fslanat6071ants243	6.0.7.1	default	ses-001	SUCCESS
010	sub-010	001	samseg8001ants243	8.0.0.1	default	ses-001	SUCCESS
011	sub-011	001	freesurfer741ants243	7.4.1	default	ses-001	SUCCESS
011	sub-011	001	freesurfer8001ants243	8.0.0.1	default	ses-001	SUCCESS
011	sub-011	001	fslanat6071ants243	6.0.7.1	default	ses-001	SUCCESS
011	sub-011	001	samseg8001ants243	8.0.0.1	default	ses-001	SUCCESS
012	sub-012	001	freesurfer741ants243	7.4.1	default	ses-001	SUCCESS
012	sub-012	001	freesurfer8001ants243	8.0.0.1	default	ses-001	SUCCESS
012	sub-012	001	fslanat6071ants243	6.0.7.1	default	ses-001	SUCCESS
012	sub-012	001	samseg8001ants243	8.0.0.1	default	ses-001	SUCCESS
013	sub-013	001	freesurfer741ants243	7.4.1	default	ses-001	FAIL
013	sub-013	001	freesurfer8001ants243	8.0.0.1	default	ses-001	SUCCESS
013	sub-013	001	fslanat6071ants243	6.0.7.1	default	ses-001	SUCCESS
013	sub-013	001	samseg8001ants243	8.0.0.1	default	ses-001	SUCCESS
014	sub-014	001	freesurfer741ants243	7.4.1	default	ses-001	SUCCESS
014	sub-014	001	freesurfer8001ants243	8.0.0.1	default	ses-001	SUCCESS
014	sub-014	001	fslanat6071ants243	6.0.7.1	default	ses-001	SUCCESS
014	sub-014	001	samseg8001ants243	8.0.0.1	default	ses-001	SUCCESS
015	sub-015	001	freesurfer741ants243	7.4.1	default	ses-001	SUCCESS
015	sub-015	001	freesurfer8001ants243	8.0.0.1	default	ses-001	SUCCESS
015	sub-015	001	fslanat6071ants243	6.0.7.1	default	ses-001	SUCCESS
015	sub-015	001	samseg8001ants243	8.0.0.1	default	ses-001	SUCCESS
016	sub-016	001	freesurfer741ants243	7.4.1	default	ses-001	SUCCESS
016	sub-016	001	freesurfer8001ants243	8.0.0.1	default	ses-001	SUCCESS
016	sub-016	001	fslanat6071ants243	6.0.7.1	default	ses-001	SUCCESS
016	sub-016	001	samseg8001ants243	8.0.0.1	default	ses-001	SUCCESS
017	sub-017	001	freesurfer741ants243	7.4.1	default	ses-001	SUCCESS
017	sub-017	001	freesurfer8001ants243	8.0.0.1	default	ses-001	SUCCESS
017	sub-017	001	fslanat6071ants243	6.0.7.1	default	ses-001	SUCCESS
017	sub-017	001	samseg8001ants243	8.0.0.1	default	ses-001	SUCCESS
018	sub-018	001	freesurfer741ants243	7.4.1	default	ses-001	FAIL
018	sub-018	001	freesurfer8001ants243	8.0.0.1	default	ses-001	FAIL
018	sub-018	001	fslanat6071ants243	6.0.7.1	default	ses-001	FAIL
018	sub-018	001	samseg8001ants243	8.0.0.1	default	ses-001	FAIL
019	sub-019	001	freesurfer741ants243	7.4.1	default	ses-001	FAIL
019	sub-019	001	freesurfer8001ants243	8.0.0.1	default	ses-001	FAIL
