participant_id	bids_participant_id	session_id	pipeline_name	pipeline_version	pipeline_step	bids_session_id	status
1004	sub-1004	BL	mriqc	23.1.0	default	ses-BL	FAIL
1005	sub-1005	BL	mriqc	23.1.0	default	ses-BL	FAIL
1007	sub-1007	BL	mriqc	23.1.0	default	ses-BL	FAIL
1009	sub-1009	BL	mriqc	23.1.0	default	ses-BL	FAIL
1010	sub-1010	BL	mriqc	23.1.0	default	ses-BL	FAIL
1012	sub-1012	BL	mriqc	23.1.0	default	ses-BL	FAIL
1013	sub-1013	BL	mriqc	23.1.0	default	ses-BL	FAIL
1014	sub-1014	BL	mriqc	23.1.0	default	ses-BL	FAIL
1015	sub-1015	BL	mriqc	23.1.0	default	ses-BL	FAIL
1017	sub-1017	BL	mriqc	23.1.0	default	ses-BL	FAIL
1018	sub-1018	BL	mriqc	23.1.0	default	ses-BL	FAIL
1019	sub-1019	BL	mriqc	23.1.0	default	ses-BL	FAIL
1020	sub-1020	BL	mriqc	23.1.0	default	ses-BL	FAIL
1022	sub-1022	BL	mriqc	23.1.0	default	ses-BL	FAIL
1023	sub-1023	BL	mriqc	23.1.0	default	ses-BL	FAIL
1024	sub-1024	BL	mriqc	23.1.0	default	ses-BL	FAIL
1025	sub-1025	BL	mriqc	23.1.0	default	ses-BL	FAIL
1026	sub-1026	BL	mriqc	23.1.0	default	ses-BL	FAIL
1028	sub-1028	BL	mriqc	23.1.0	default	ses-BL	FAIL
1029	sub-1029	BL	mriqc	23.1.0	default	ses-BL	FAIL
1030	sub-1030	BL	mriqc	23.1.0	default	ses-BL	FAIL
1031	sub-1031	BL	mriqc	23.1.0	default	ses-BL	FAIL
1032	sub-1032	BL	mriqc	23.1.0	default	ses-BL	FAIL
1033	sub-1033	BL	mriqc	23.1.0	default	ses-BL	FAIL
1034	sub-1034	BL	mriqc	23.1.0	default	ses-BL	FAIL
1035	sub-1035	BL	mriqc	23.1.0	default	ses-BL	FAIL
1036	sub-1036	BL	mriqc	23.1.0	default	ses-BL	FAIL
1037	sub-1037	BL	mriqc	23.1.0	default	ses-BL	FAIL
1038	sub-1038	BL	mriqc	23.1.0	default	ses-BL	FAIL
1039	sub-1039	BL	mriqc	23.1.0	default	ses-BL	FAIL
1041	sub-1041	BL	mriqc	23.1.0	default	ses-BL	FAIL
