participant_id	bids_participant_id	session_id	pipeline_name	pipeline_version	pipeline_step	bids_session_id	status
A00008326	sub-A00008326	BAS1	freesurfer741ants243	7.4.1	default	ses-BAS1	SUCCESS
A00008326	sub-A00008326	BAS1	freesurfer8001ants243	8.0.0.1	default	ses-BAS1	SUCCESS
A00008326	sub-A00008326	BAS1	fslanat6071ants243	6.0.7.1	default	ses-BAS1	SUCCESS
A00008326	sub-A00008326	BAS1	samseg8001ants243	8.0.0.1	default	ses-BAS1	SUCCESS
A00008326	sub-A00008326	BAS2	freesurfer741ants243	7.4.1	default	ses-BAS2	SUCCESS
A00008326	sub-A00008326	BAS2	freesurfer8001ants243	8.0.0.1	default	ses-BAS2	SUCCESS
A00008326	sub-A00008326	BAS2	fslanat6071ants243	6.0.7.1	default	ses-BAS2	SUCCESS
A00008326	sub-A00008326	BAS2	samseg8001ants243	8.0.0.1	default	ses-BAS2	SUCCESS
A00008326	sub-A00008326	FLU1	freesurfer741ants243	7.4.1	default	ses-FLU1	SUCCESS
A00008326	sub-A00008326	FLU1	freesurfer8001ants243	8.0.0.1	default	ses-FLU1	SUCCESS
A00008326	sub-A00008326	FLU1	fslanat6071ants243	6.0.7.1	default	ses-FLU1	SUCCESS
A00008326	sub-A00008326	FLU1	samseg8001ants243	8.0.0.1	default	ses-FLU1	SUCCESS
A00008399	sub-A00008399	BAS1	freesurfer741ants243	7.4.1	default	ses-BAS1	SUCCESS
A00008399	sub-A00008399	BAS1	freesurfer8001ants243	8.0.0.1	default	ses-BAS1	SUCCESS
A00008399	sub-A00008399	BAS1	fslanat6071ants243	6.0.7.1	default	ses-BAS1	SUCCESS
A00008399	sub-A00008399	BAS1	samseg8001ants243	8.0.0.1	default	ses-BAS1	SUCCESS
A00013809	sub-A00013809	BAS1	freesurfer741ants243	7.4.1	default	ses-BAS1	SUCCESS
A00013809	sub-A00013809	BAS1	freesurfer8001ants243	8.0.0.1	default	ses-BAS1	SUCCESS
A00013809	sub-A00013809	BAS1	fslanat6071ants243	6.0.7.1	default	ses-BAS1	SUCCESS
A00013809	sub-A00013809	BAS1	samseg8001ants243	8.0.0.1	default	ses-BAS1	SUCCESS
A00018030	sub-A00018030	BAS1	freesurfer741ants243	7.4.1	default	ses-BAS1	SUCCESS
A00018030	sub-A00018030	BAS1	freesurfer8001ants243	8.0.0.1	default	ses-BAS1	SUCCESS
A00018030	sub-A00018030	BAS1	fslanat6071ants243	6.0.7.1	default	ses-BAS1	SUCCESS
A00018030	sub-A00018030	BAS1	samseg8001ants243	8.0.0.1	default	ses-BAS1	SUCCESS
A00018030	sub-A00018030	FLU1	freesurfer741ants243	7.4.1	default	ses-FLU1	SUCCESS
A00018030	sub-A00018030	FLU1	freesurfer8001ants243	8.0.0.1	default	ses-FLU1	SUCCESS
A00018030	sub-A00018030	FLU1	fslanat6071ants243	6.0.7.1	default	ses-FLU1	SUCCESS
A00018030	sub-A00018030	FLU1	samseg8001ants243	8.0.0.1	default	ses-FLU1	SUCCESS
A00018030	sub-A00018030	TRT	freesurfer741ants243	7.4.1	default	ses-TRT	SUCCESS
A00018030	sub-A00018030	TRT	freesurfer8001ants243	8.0.0.1	default	ses-TRT	SUCCESS
A00018030	sub-A00018030	TRT	fslanat6071ants243	6.0.7.1	default	ses-TRT	SUCCESS
A00018030	sub-A00018030	TRT	samseg8001ants243	8.0.0.1	default	ses-TRT	SUCCESS
A00019903	sub-A00019903	BAS1	freesurfer741ants243	7.4.1	default	ses-BAS1	SUCCESS
A00019903	sub-A00019903	BAS1	freesurfer8001ants243	8.0.0.1	default	ses-BAS1	SUCCESS
A00019903	sub-A00019903	BAS1	fslanat6071ants243	6.0.7.1	default	ses-BAS1	SUCCESS
A00019903	sub-A00019903	BAS1	samseg8001ants243	8.0.0.1	default	ses-BAS1	SUCCESS
A00021039	sub-A00021039	BAS1	freesurfer741ants243	7.4.1	default	ses-BAS1	SUCCESS
A00021039	sub-A00021039	BAS1	freesurfer8001ants243	8.0.0.1	default	ses-BAS1	SUCCESS
A00021039	sub-A00021039	BAS1	fslanat6071ants243	6.0.7.1	default	ses-BAS1	SUCCESS
A00021039	sub-A00021039	BAS1	samseg8001ants243	8.0.0.1	default	ses-BAS1	SUCCESS
A00023510	sub-A00023510	BAS1	freesurfer741ants243	7.4.1	default	ses-BAS1	SUCCESS
A00023510	sub-A00023510	BAS1	freesurfer8001ants243	8.0.0.1	default	ses-BAS1	SUCCESS
A00023510	sub-A00023510	BAS1	fslanat6071ants243	6.0.7.1	default	ses-BAS1	SUCCESS
A00023510	sub-A00023510	BAS1	samseg8001ants243	8.0.0.1	default	ses-BAS1	SUCCESS
A00025566	sub-A00025566	BAS1	freesurfer741ants243	7.4.1	default	ses-BAS1	SUCCESS
A00025566	sub-A00025566	BAS1	freesurfer8001ants243	8.0.0.1	default	ses-BAS1	SUCCESS
A00025566	sub-A00025566	BAS1	fslanat6071ants243	6.0.7.1	default	ses-BAS1	SUCCESS
A00025566	sub-A00025566	BAS1	samseg8001ants243	8.0.0.1	default	ses-BAS1	SUCCESS
A00027159	sub-A00027159	BAS1	freesurfer741ants243	7.4.1	default	ses-BAS1	FAIL
A00027159	sub-A00027159	BAS1	freesurfer8001ants243	8.0.0.1	default	ses-BAS1	FAIL
