participant_id	bids_participant_id	session_id	pipeline_name	pipeline_version	pipeline_step	bids_session_id	status
001	sub-001	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
001	sub-001	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
001	sub-001	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
001	sub-001	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
002	sub-002	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
002	sub-002	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
002	sub-002	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
002	sub-002	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
003	sub-003	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
003	sub-003	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
003	sub-003	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
003	sub-003	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
004	sub-004	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
004	sub-004	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
004	sub-004	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
004	sub-004	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
005	sub-005	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
005	sub-005	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
005	sub-005	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
005	sub-005	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
006	sub-006	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
006	sub-006	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
006	sub-006	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
006	sub-006	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
007	sub-007	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
007	sub-007	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
007	sub-007	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
007	sub-007	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
008	sub-008	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
008	sub-008	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
008	sub-008	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
008	sub-008	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
009	sub-009	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
009	sub-009	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
009	sub-009	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
009	sub-009	01	samseg8001ants243	8.0.0.1	default	ses-01	FAIL
010	sub-010	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
010	sub-010	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
010	sub-010	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
010	sub-010	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
011	sub-011	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
011	sub-011	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
011	sub-011	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
011	sub-011	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
012	sub-012	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
012	sub-012	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
012	sub-012	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
012	sub-012	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
013	sub-013	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
013	sub-013	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
013	sub-013	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
013	sub-013	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
014	sub-014	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
014	sub-014	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
014	sub-014	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
014	sub-014	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
015	sub-015	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
015	sub-015	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
015	sub-015	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
015	sub-015	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
016	sub-016	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
016	sub-016	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
016	sub-016	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
016	sub-016	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
017	sub-017	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
017	sub-017	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
017	sub-017	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
017	sub-017	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
018	sub-018	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
018	sub-018	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
018	sub-018	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
018	sub-018	01	samseg8001ants243	8.0.0.1	default	ses-01	FAIL
019	sub-019	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
019	sub-019	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
019	sub-019	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
019	sub-019	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
020	sub-020	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
020	sub-020	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
020	sub-020	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
020	sub-020	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
021	sub-021	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
021	sub-021	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
021	sub-021	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
021	sub-021	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
022	sub-022	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
022	sub-022	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
022	sub-022	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
022	sub-022	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
023	sub-023	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
023	sub-023	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
023	sub-023	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
023	sub-023	01	samseg8001ants243	8.0.0.1	default	ses-01	SUCCESS
024	sub-024	01	freesurfer741ants243	7.4.1	default	ses-01	SUCCESS
024	sub-024	01	freesurfer8001ants243	8.0.0.1	default	ses-01	SUCCESS
024	sub-024	01	fslanat6071ants243	6.0.7.1	default	ses-01	SUCCESS
